Home,Home_G,Away_G,Away
11,5,0,44
21,0,1,36
22,0,1,41
12,3,3,53
13,2,1,45
31,1,1,54
32,0,1,19
14,2,0,24
33,0,1,51
15,0,1,37
34,1,1,55
16,1,0,42
17,3,0,38
23,1,2,52
35,1,2,43
18,1,2,25
11,3,1,21
12,1,0,22
36,1,0,44
41,0,1,53
19,1,1,45
13,1,0,32
31,0,3,14
34,2,0,33
24,2,0,54
51,1,2,55
17,5,2,23
42,1,2,37
15,2,1,16
52,6,1,38
43,2,2,25
18,0,3,35
36,3,0,11
44,2,1,21
53,2,2,22
41,1,1,12
45,0,2,32
19,0,0,13
24,1,2,31
54,1,2,14
42,2,0,15
37,0,3,16
51,0,2,34
55,2,2,33
43,0,1,18
25,0,1,35
38,1,2,23
52,0,1,17
13,4,3,31
36,2,1,12
53,1,1,11
14,1,1,19
34,2,0,37
17,3,2,43
16,1,0,55
35,1,1,52
36,0,2,13
34,1,2,17
16,0,2,52
11,2,2,14
13,1,0,17
14,2,1,52
17,2,0,52
13,4,2,14
